pair,file,column,arm,min_ns,bytes
1,citm_catalog,dom-stringify,esc_scalar,359200,500299
1,citm_catalog,dom-stringify,esc_wide,366300,500299
2,citm_catalog,dom-stringify,esc_scalar,377300,500299
2,citm_catalog,dom-stringify,esc_wide,373500,500299
3,citm_catalog,dom-stringify,esc_scalar,398500,500299
3,citm_catalog,dom-stringify,esc_wide,416600,500299
4,citm_catalog,dom-stringify,esc_scalar,430600,500299
4,citm_catalog,dom-stringify,esc_wide,399700,500299
5,citm_catalog,dom-stringify,esc_scalar,402300,500299
5,citm_catalog,dom-stringify,esc_wide,361300,500299
6,citm_catalog,dom-stringify,esc_scalar,385900,500299
6,citm_catalog,dom-stringify,esc_wide,373000,500299
7,citm_catalog,dom-stringify,esc_scalar,411400,500299
7,citm_catalog,dom-stringify,esc_wide,392500,500299
8,citm_catalog,dom-stringify,esc_scalar,435000,500299
8,citm_catalog,dom-stringify,esc_wide,421300,500299
9,citm_catalog,dom-stringify,esc_scalar,417600,500299
9,citm_catalog,dom-stringify,esc_wide,436700,500299
10,citm_catalog,dom-stringify,esc_scalar,415600,500299
10,citm_catalog,dom-stringify,esc_wide,390700,500299
11,citm_catalog,dom-stringify,esc_scalar,400200,500299
11,citm_catalog,dom-stringify,esc_wide,388400,500299
12,citm_catalog,dom-stringify,esc_scalar,379900,500299
12,citm_catalog,dom-stringify,esc_wide,370900,500299
13,citm_catalog,dom-stringify,esc_scalar,406900,500299
13,citm_catalog,dom-stringify,esc_wide,385700,500299
14,citm_catalog,dom-stringify,esc_scalar,434500,500299
14,citm_catalog,dom-stringify,esc_wide,361200,500299
15,citm_catalog,dom-stringify,esc_scalar,396700,500299
15,citm_catalog,dom-stringify,esc_wide,420600,500299
16,citm_catalog,dom-stringify,esc_scalar,400000,500299
16,citm_catalog,dom-stringify,esc_wide,400700,500299
17,citm_catalog,dom-stringify,esc_scalar,384500,500299
17,citm_catalog,dom-stringify,esc_wide,379300,500299
18,citm_catalog,dom-stringify,esc_scalar,390300,500299
18,citm_catalog,dom-stringify,esc_wide,369500,500299
19,citm_catalog,dom-stringify,esc_scalar,399800,500299
19,citm_catalog,dom-stringify,esc_wide,383000,500299
20,citm_catalog,dom-stringify,esc_scalar,417300,500299
20,citm_catalog,dom-stringify,esc_wide,378000,500299
21,citm_catalog,dom-stringify,esc_scalar,396800,500299
21,citm_catalog,dom-stringify,esc_wide,389200,500299
22,citm_catalog,dom-stringify,esc_scalar,392300,500299
22,citm_catalog,dom-stringify,esc_wide,374400,500299
23,citm_catalog,dom-stringify,esc_scalar,387000,500299
23,citm_catalog,dom-stringify,esc_wide,451200,500299
24,citm_catalog,dom-stringify,esc_scalar,355100,500299
24,citm_catalog,dom-stringify,esc_wide,388900,500299
25,citm_catalog,dom-stringify,esc_scalar,387400,500299
25,citm_catalog,dom-stringify,esc_wide,377000,500299
26,citm_catalog,dom-stringify,esc_scalar,370600,500299
26,citm_catalog,dom-stringify,esc_wide,362600,500299
27,citm_catalog,dom-stringify,esc_scalar,384100,500299
27,citm_catalog,dom-stringify,esc_wide,352100,500299
28,citm_catalog,dom-stringify,esc_scalar,434400,500299
28,citm_catalog,dom-stringify,esc_wide,371200,500299
29,citm_catalog,dom-stringify,esc_scalar,374400,500299
29,citm_catalog,dom-stringify,esc_wide,373800,500299
30,citm_catalog,dom-stringify,esc_scalar,364700,500299
30,citm_catalog,dom-stringify,esc_wide,339500,500299
31,citm_catalog,dom-stringify,esc_scalar,357100,500299
31,citm_catalog,dom-stringify,esc_wide,374400,500299
32,citm_catalog,dom-stringify,esc_scalar,368200,500299
32,citm_catalog,dom-stringify,esc_wide,389800,500299
33,citm_catalog,dom-stringify,esc_scalar,362600,500299
33,citm_catalog,dom-stringify,esc_wide,386600,500299
34,citm_catalog,dom-stringify,esc_scalar,380000,500299
34,citm_catalog,dom-stringify,esc_wide,343900,500299
35,citm_catalog,dom-stringify,esc_scalar,425900,500299
35,citm_catalog,dom-stringify,esc_wide,405000,500299
36,citm_catalog,dom-stringify,esc_scalar,401700,500299
36,citm_catalog,dom-stringify,esc_wide,392900,500299
37,citm_catalog,dom-stringify,esc_scalar,403700,500299
37,citm_catalog,dom-stringify,esc_wide,426900,500299
38,citm_catalog,dom-stringify,esc_scalar,392500,500299
38,citm_catalog,dom-stringify,esc_wide,414800,500299
39,citm_catalog,dom-stringify,esc_scalar,398700,500299
39,citm_catalog,dom-stringify,esc_wide,394400,500299
40,citm_catalog,dom-stringify,esc_scalar,399800,500299
40,citm_catalog,dom-stringify,esc_wide,397100,500299
41,citm_catalog,dom-stringify,esc_scalar,414400,500299
41,citm_catalog,dom-stringify,esc_wide,378800,500299
42,citm_catalog,dom-stringify,esc_scalar,443000,500299
42,citm_catalog,dom-stringify,esc_wide,426200,500299
43,citm_catalog,dom-stringify,esc_scalar,442600,500299
43,citm_catalog,dom-stringify,esc_wide,406400,500299
44,citm_catalog,dom-stringify,esc_scalar,406700,500299
44,citm_catalog,dom-stringify,esc_wide,408500,500299
45,citm_catalog,dom-stringify,esc_scalar,399600,500299
45,citm_catalog,dom-stringify,esc_wide,391200,500299
46,citm_catalog,dom-stringify,esc_scalar,405900,500299
46,citm_catalog,dom-stringify,esc_wide,386100,500299
47,citm_catalog,dom-stringify,esc_scalar,392600,500299
47,citm_catalog,dom-stringify,esc_wide,383700,500299
48,citm_catalog,dom-stringify,esc_scalar,407200,500299
48,citm_catalog,dom-stringify,esc_wide,376800,500299
49,citm_catalog,dom-stringify,esc_scalar,385100,500299
49,citm_catalog,dom-stringify,esc_wide,381500,500299
50,citm_catalog,dom-stringify,esc_scalar,422500,500299
50,citm_catalog,dom-stringify,esc_wide,389800,500299
