pair,file,column,arm,min_ns,bytes
1,citm_catalog,dom-stringify,esc_scalar,444200,500299
1,citm_catalog,dom-stringify,esc_wide,426200,500299
2,citm_catalog,dom-stringify,esc_scalar,424800,500299
2,citm_catalog,dom-stringify,esc_wide,421600,500299
3,citm_catalog,dom-stringify,esc_scalar,437100,500299
3,citm_catalog,dom-stringify,esc_wide,424800,500299
4,citm_catalog,dom-stringify,esc_scalar,433000,500299
4,citm_catalog,dom-stringify,esc_wide,420400,500299
5,citm_catalog,dom-stringify,esc_scalar,418700,500299
5,citm_catalog,dom-stringify,esc_wide,412100,500299
6,citm_catalog,dom-stringify,esc_scalar,418500,500299
6,citm_catalog,dom-stringify,esc_wide,404800,500299
7,citm_catalog,dom-stringify,esc_scalar,427100,500299
7,citm_catalog,dom-stringify,esc_wide,430800,500299
8,citm_catalog,dom-stringify,esc_scalar,431300,500299
8,citm_catalog,dom-stringify,esc_wide,430800,500299
9,citm_catalog,dom-stringify,esc_scalar,429100,500299
9,citm_catalog,dom-stringify,esc_wide,428400,500299
10,citm_catalog,dom-stringify,esc_scalar,430200,500299
10,citm_catalog,dom-stringify,esc_wide,424600,500299
11,citm_catalog,dom-stringify,esc_scalar,434600,500299
11,citm_catalog,dom-stringify,esc_wide,424000,500299
12,citm_catalog,dom-stringify,esc_scalar,435300,500299
12,citm_catalog,dom-stringify,esc_wide,425100,500299
13,citm_catalog,dom-stringify,esc_scalar,419000,500299
13,citm_catalog,dom-stringify,esc_wide,413500,500299
14,citm_catalog,dom-stringify,esc_scalar,430200,500299
14,citm_catalog,dom-stringify,esc_wide,413200,500299
15,citm_catalog,dom-stringify,esc_scalar,440300,500299
15,citm_catalog,dom-stringify,esc_wide,421500,500299
16,citm_catalog,dom-stringify,esc_scalar,460500,500299
16,citm_catalog,dom-stringify,esc_wide,445500,500299
17,citm_catalog,dom-stringify,esc_scalar,448000,500299
17,citm_catalog,dom-stringify,esc_wide,432500,500299
18,citm_catalog,dom-stringify,esc_scalar,446600,500299
18,citm_catalog,dom-stringify,esc_wide,438900,500299
19,citm_catalog,dom-stringify,esc_scalar,450000,500299
19,citm_catalog,dom-stringify,esc_wide,444200,500299
20,citm_catalog,dom-stringify,esc_scalar,449000,500299
20,citm_catalog,dom-stringify,esc_wide,435100,500299
21,citm_catalog,dom-stringify,esc_scalar,446400,500299
21,citm_catalog,dom-stringify,esc_wide,416300,500299
22,citm_catalog,dom-stringify,esc_scalar,428900,500299
22,citm_catalog,dom-stringify,esc_wide,417100,500299
23,citm_catalog,dom-stringify,esc_scalar,436900,500299
23,citm_catalog,dom-stringify,esc_wide,440800,500299
24,citm_catalog,dom-stringify,esc_scalar,436900,500299
24,citm_catalog,dom-stringify,esc_wide,422800,500299
25,citm_catalog,dom-stringify,esc_scalar,429700,500299
25,citm_catalog,dom-stringify,esc_wide,418900,500299
26,citm_catalog,dom-stringify,esc_scalar,426700,500299
26,citm_catalog,dom-stringify,esc_wide,419300,500299
27,citm_catalog,dom-stringify,esc_scalar,427800,500299
27,citm_catalog,dom-stringify,esc_wide,432000,500299
28,citm_catalog,dom-stringify,esc_scalar,429200,500299
28,citm_catalog,dom-stringify,esc_wide,425500,500299
29,citm_catalog,dom-stringify,esc_scalar,435100,500299
29,citm_catalog,dom-stringify,esc_wide,425600,500299
30,citm_catalog,dom-stringify,esc_scalar,436500,500299
30,citm_catalog,dom-stringify,esc_wide,435800,500299
31,citm_catalog,dom-stringify,esc_scalar,413100,500299
31,citm_catalog,dom-stringify,esc_wide,417600,500299
32,citm_catalog,dom-stringify,esc_scalar,426700,500299
32,citm_catalog,dom-stringify,esc_wide,413600,500299
33,citm_catalog,dom-stringify,esc_scalar,430800,500299
33,citm_catalog,dom-stringify,esc_wide,405800,500299
34,citm_catalog,dom-stringify,esc_scalar,428700,500299
34,citm_catalog,dom-stringify,esc_wide,418200,500299
35,citm_catalog,dom-stringify,esc_scalar,430000,500299
35,citm_catalog,dom-stringify,esc_wide,406200,500299
36,citm_catalog,dom-stringify,esc_scalar,428900,500299
36,citm_catalog,dom-stringify,esc_wide,407500,500299
37,citm_catalog,dom-stringify,esc_scalar,431300,500299
37,citm_catalog,dom-stringify,esc_wide,403100,500299
38,citm_catalog,dom-stringify,esc_scalar,423400,500299
38,citm_catalog,dom-stringify,esc_wide,405600,500299
39,citm_catalog,dom-stringify,esc_scalar,403400,500299
39,citm_catalog,dom-stringify,esc_wide,412600,500299
40,citm_catalog,dom-stringify,esc_scalar,406800,500299
40,citm_catalog,dom-stringify,esc_wide,400800,500299
41,citm_catalog,dom-stringify,esc_scalar,400600,500299
41,citm_catalog,dom-stringify,esc_wide,394900,500299
42,citm_catalog,dom-stringify,esc_scalar,406900,500299
42,citm_catalog,dom-stringify,esc_wide,405200,500299
43,citm_catalog,dom-stringify,esc_scalar,426000,500299
43,citm_catalog,dom-stringify,esc_wide,408900,500299
44,citm_catalog,dom-stringify,esc_scalar,413600,500299
44,citm_catalog,dom-stringify,esc_wide,428400,500299
45,citm_catalog,dom-stringify,esc_scalar,425100,500299
45,citm_catalog,dom-stringify,esc_wide,404200,500299
46,citm_catalog,dom-stringify,esc_scalar,405500,500299
46,citm_catalog,dom-stringify,esc_wide,394700,500299
47,citm_catalog,dom-stringify,esc_scalar,410500,500299
47,citm_catalog,dom-stringify,esc_wide,390700,500299
48,citm_catalog,dom-stringify,esc_scalar,416200,500299
48,citm_catalog,dom-stringify,esc_wide,396900,500299
49,citm_catalog,dom-stringify,esc_scalar,403600,500299
49,citm_catalog,dom-stringify,esc_wide,402700,500299
50,citm_catalog,dom-stringify,esc_scalar,406200,500299
50,citm_catalog,dom-stringify,esc_wide,407600,500299
51,citm_catalog,dom-stringify,esc_scalar,409200,500299
51,citm_catalog,dom-stringify,esc_wide,396200,500299
52,citm_catalog,dom-stringify,esc_scalar,382800,500299
52,citm_catalog,dom-stringify,esc_wide,394000,500299
53,citm_catalog,dom-stringify,esc_scalar,409200,500299
53,citm_catalog,dom-stringify,esc_wide,396600,500299
54,citm_catalog,dom-stringify,esc_scalar,437300,500299
54,citm_catalog,dom-stringify,esc_wide,396500,500299
55,citm_catalog,dom-stringify,esc_scalar,422700,500299
55,citm_catalog,dom-stringify,esc_wide,408300,500299
56,citm_catalog,dom-stringify,esc_scalar,427400,500299
56,citm_catalog,dom-stringify,esc_wide,402800,500299
57,citm_catalog,dom-stringify,esc_scalar,405300,500299
57,citm_catalog,dom-stringify,esc_wide,411700,500299
58,citm_catalog,dom-stringify,esc_scalar,429300,500299
58,citm_catalog,dom-stringify,esc_wide,412200,500299
59,citm_catalog,dom-stringify,esc_scalar,429600,500299
59,citm_catalog,dom-stringify,esc_wide,401800,500299
60,citm_catalog,dom-stringify,esc_scalar,478800,500299
60,citm_catalog,dom-stringify,esc_wide,418700,500299
61,citm_catalog,dom-stringify,esc_scalar,446100,500299
61,citm_catalog,dom-stringify,esc_wide,416700,500299
1,citm_catalog,struct-parse,esc_scalar,1396800,1777672
1,citm_catalog,struct-parse,esc_wide,1431800,1777672
2,citm_catalog,struct-parse,esc_scalar,1430700,1777672
2,citm_catalog,struct-parse,esc_wide,1430800,1777672
3,citm_catalog,struct-parse,esc_scalar,1378000,1777672
3,citm_catalog,struct-parse,esc_wide,1365700,1777672
4,citm_catalog,struct-parse,esc_scalar,1389100,1777672
4,citm_catalog,struct-parse,esc_wide,1389600,1777672
5,citm_catalog,struct-parse,esc_scalar,1393600,1777672
5,citm_catalog,struct-parse,esc_wide,1438500,1777672
6,citm_catalog,struct-parse,esc_scalar,1364500,1777672
6,citm_catalog,struct-parse,esc_wide,1407000,1777672
7,citm_catalog,struct-parse,esc_scalar,1423800,1777672
7,citm_catalog,struct-parse,esc_wide,1420400,1777672
8,citm_catalog,struct-parse,esc_scalar,1438600,1777672
8,citm_catalog,struct-parse,esc_wide,1419900,1777672
9,citm_catalog,struct-parse,esc_scalar,1404100,1777672
9,citm_catalog,struct-parse,esc_wide,1457900,1777672
10,citm_catalog,struct-parse,esc_scalar,1454700,1777672
10,citm_catalog,struct-parse,esc_wide,1393700,1777672
11,citm_catalog,struct-parse,esc_scalar,1388300,1777672
11,citm_catalog,struct-parse,esc_wide,1370000,1777672
12,citm_catalog,struct-parse,esc_scalar,1432700,1777672
12,citm_catalog,struct-parse,esc_wide,1353700,1777672
13,citm_catalog,struct-parse,esc_scalar,1340800,1777672
13,citm_catalog,struct-parse,esc_wide,1364200,1777672
14,citm_catalog,struct-parse,esc_scalar,1421800,1777672
14,citm_catalog,struct-parse,esc_wide,1407200,1777672
15,citm_catalog,struct-parse,esc_scalar,1430300,1777672
15,citm_catalog,struct-parse,esc_wide,1515900,1777672
16,citm_catalog,struct-parse,esc_scalar,1461900,1777672
16,citm_catalog,struct-parse,esc_wide,1421800,1777672
17,citm_catalog,struct-parse,esc_scalar,1490400,1777672
17,citm_catalog,struct-parse,esc_wide,1456300,1777672
18,citm_catalog,struct-parse,esc_scalar,1476500,1777672
18,citm_catalog,struct-parse,esc_wide,1401000,1777672
19,citm_catalog,struct-parse,esc_scalar,1445100,1777672
19,citm_catalog,struct-parse,esc_wide,1398100,1777672
