pair,file,column,arm,min_ns,bytes
1,canada,dom-parse,eight_only,8632600,2251060
1,canada,dom-parse,eight_plus_four,8746300,2251060
2,canada,dom-parse,eight_only,9086200,2251060
2,canada,dom-parse,eight_plus_four,8973500,2251060
3,canada,dom-parse,eight_only,9009200,2251060
3,canada,dom-parse,eight_plus_four,8993500,2251060
4,canada,dom-parse,eight_only,8838400,2251060
4,canada,dom-parse,eight_plus_four,9059300,2251060
5,canada,dom-parse,eight_only,8824900,2251060
5,canada,dom-parse,eight_plus_four,8840500,2251060
6,canada,dom-parse,eight_only,8732000,2251060
6,canada,dom-parse,eight_plus_four,8560500,2251060
7,canada,dom-parse,eight_only,9027800,2251060
7,canada,dom-parse,eight_plus_four,9034600,2251060
8,canada,dom-parse,eight_only,8811800,2251060
8,canada,dom-parse,eight_plus_four,8544400,2251060
9,canada,dom-parse,eight_only,8843600,2251060
9,canada,dom-parse,eight_plus_four,8929300,2251060
10,canada,dom-parse,eight_only,8915900,2251060
10,canada,dom-parse,eight_plus_four,9612500,2251060
11,canada,dom-parse,eight_only,9099500,2251060
11,canada,dom-parse,eight_plus_four,9225500,2251060
12,canada,dom-parse,eight_only,9308000,2251060
12,canada,dom-parse,eight_plus_four,9384800,2251060
13,canada,dom-parse,eight_only,9130600,2251060
13,canada,dom-parse,eight_plus_four,9051900,2251060
14,canada,dom-parse,eight_only,8810600,2251060
14,canada,dom-parse,eight_plus_four,9102800,2251060
15,canada,dom-parse,eight_only,9031200,2251060
15,canada,dom-parse,eight_plus_four,9649500,2251060
16,canada,dom-parse,eight_only,9322100,2251060
16,canada,dom-parse,eight_plus_four,9894100,2251060
17,canada,dom-parse,eight_only,10447200,2251060
17,canada,dom-parse,eight_plus_four,10021800,2251060
18,canada,dom-parse,eight_only,9025200,2251060
18,canada,dom-parse,eight_plus_four,9345000,2251060
19,canada,dom-parse,eight_only,8895900,2251060
19,canada,dom-parse,eight_plus_four,9505800,2251060
20,canada,dom-parse,eight_only,8799800,2251060
20,canada,dom-parse,eight_plus_four,9167000,2251060
21,canada,dom-parse,eight_only,9381800,2251060
21,canada,dom-parse,eight_plus_four,9483600,2251060
22,canada,dom-parse,eight_only,9433000,2251060
22,canada,dom-parse,eight_plus_four,9535700,2251060
23,canada,dom-parse,eight_only,8648400,2251060
23,canada,dom-parse,eight_plus_four,8783100,2251060
24,canada,dom-parse,eight_only,8806300,2251060
24,canada,dom-parse,eight_plus_four,9339900,2251060
25,canada,dom-parse,eight_only,9619200,2251060
25,canada,dom-parse,eight_plus_four,9626600,2251060
26,canada,dom-parse,eight_only,9073100,2251060
26,canada,dom-parse,eight_plus_four,9538500,2251060
27,canada,dom-parse,eight_only,8973500,2251060
27,canada,dom-parse,eight_plus_four,9138200,2251060
28,canada,dom-parse,eight_only,8882700,2251060
28,canada,dom-parse,eight_plus_four,9336500,2251060
29,canada,dom-parse,eight_only,8785100,2251060
29,canada,dom-parse,eight_plus_four,9133700,2251060
