pair,file,column,arm,min_ns,bytes
1,canada,dom-stringify,no_fold,2052000,2063469
1,canada,dom-stringify,folded,2240000,2063469
2,canada,dom-stringify,no_fold,2198400,2063469
2,canada,dom-stringify,folded,2313100,2063469
3,canada,dom-stringify,no_fold,2297500,2063469
3,canada,dom-stringify,folded,2208400,2063469
4,canada,dom-stringify,no_fold,2273500,2063469
4,canada,dom-stringify,folded,2182100,2063469
5,canada,dom-stringify,no_fold,2210700,2063469
5,canada,dom-stringify,folded,2144000,2063469
6,canada,dom-stringify,no_fold,2088400,2063469
6,canada,dom-stringify,folded,2119800,2063469
7,canada,dom-stringify,no_fold,2101800,2063469
7,canada,dom-stringify,folded,2130600,2063469
8,canada,dom-stringify,no_fold,2280000,2063469
8,canada,dom-stringify,folded,2260000,2063469
9,canada,dom-stringify,no_fold,2180700,2063469
9,canada,dom-stringify,folded,2169400,2063469
10,canada,dom-stringify,no_fold,2215400,2063469
10,canada,dom-stringify,folded,2127300,2063469
11,canada,dom-stringify,no_fold,2205100,2063469
11,canada,dom-stringify,folded,2252500,2063469
12,canada,dom-stringify,no_fold,2148100,2063469
12,canada,dom-stringify,folded,2225700,2063469
13,canada,dom-stringify,no_fold,2209000,2063469
13,canada,dom-stringify,folded,2177100,2063469
14,canada,dom-stringify,no_fold,2214300,2063469
14,canada,dom-stringify,folded,2147400,2063469
15,canada,dom-stringify,no_fold,2211500,2063469
15,canada,dom-stringify,folded,2247400,2063469
16,canada,dom-stringify,no_fold,2226400,2063469
16,canada,dom-stringify,folded,2298900,2063469
17,canada,dom-stringify,no_fold,2258300,2063469
17,canada,dom-stringify,folded,2299900,2063469
18,canada,dom-stringify,no_fold,2318500,2063469
18,canada,dom-stringify,folded,2317500,2063469
19,canada,dom-stringify,no_fold,2244900,2063469
19,canada,dom-stringify,folded,2287100,2063469
20,canada,dom-stringify,no_fold,2354800,2063469
20,canada,dom-stringify,folded,2307100,2063469
21,canada,dom-stringify,no_fold,2331200,2063469
21,canada,dom-stringify,folded,2346200,2063469
22,canada,dom-stringify,no_fold,2266100,2063469
22,canada,dom-stringify,folded,2304900,2063469
23,canada,dom-stringify,no_fold,2313900,2063469
23,canada,dom-stringify,folded,2318100,2063469
24,canada,dom-stringify,no_fold,2314800,2063469
24,canada,dom-stringify,folded,2345700,2063469
25,canada,dom-stringify,no_fold,2266800,2063469
25,canada,dom-stringify,folded,2341600,2063469
26,canada,dom-stringify,no_fold,2306300,2063469
26,canada,dom-stringify,folded,2342200,2063469
27,canada,dom-stringify,no_fold,2282400,2063469
27,canada,dom-stringify,folded,2303800,2063469
28,canada,dom-stringify,no_fold,2286700,2063469
28,canada,dom-stringify,folded,2285600,2063469
