pair,file,column,arm,min_ns,bytes
1,canada,struct-stringify,fold-off,2134100,1203993
1,canada,struct-stringify,fold-on,2158700,1203993
2,canada,struct-stringify,fold-off,2317200,1203993
2,canada,struct-stringify,fold-on,2924600,1203993
3,canada,struct-stringify,fold-off,2257400,1203993
3,canada,struct-stringify,fold-on,2678400,1203993
4,canada,struct-stringify,fold-off,2509900,1203993
4,canada,struct-stringify,fold-on,2435200,1203993
5,canada,struct-stringify,fold-off,2247700,1203993
5,canada,struct-stringify,fold-on,2206600,1203993
6,canada,struct-stringify,fold-off,2191600,1203993
6,canada,struct-stringify,fold-on,2170500,1203993
7,canada,struct-stringify,fold-off,2781300,1203993
7,canada,struct-stringify,fold-on,2436600,1203993
8,canada,struct-stringify,fold-off,2047100,1203993
8,canada,struct-stringify,fold-on,2058400,1203993
9,canada,struct-stringify,fold-off,2040200,1203993
9,canada,struct-stringify,fold-on,2148200,1203993
10,canada,struct-stringify,fold-off,2297900,1203993
10,canada,struct-stringify,fold-on,2205200,1203993
11,canada,struct-stringify,fold-off,2319800,1203993
11,canada,struct-stringify,fold-on,1966100,1203993
12,canada,struct-stringify,fold-off,2258300,1203993
12,canada,struct-stringify,fold-on,2165600,1203993
13,canada,struct-stringify,fold-off,2440500,1203993
13,canada,struct-stringify,fold-on,2395200,1203993
14,canada,struct-stringify,fold-off,1987600,1203993
14,canada,struct-stringify,fold-on,1990400,1203993
15,canada,struct-stringify,fold-off,2111200,1203993
15,canada,struct-stringify,fold-on,2126300,1203993
16,canada,struct-stringify,fold-off,2349900,1203993
16,canada,struct-stringify,fold-on,2339900,1203993
17,canada,struct-stringify,fold-off,1968700,1203993
17,canada,struct-stringify,fold-on,2139000,1203993
18,canada,struct-stringify,fold-off,2190900,1203993
18,canada,struct-stringify,fold-on,2145800,1203993
19,canada,struct-stringify,fold-off,2750300,1203993
19,canada,struct-stringify,fold-on,2233900,1203993
20,canada,struct-stringify,fold-off,1840200,1203993
20,canada,struct-stringify,fold-on,1969300,1203993
21,canada,struct-stringify,fold-off,2019400,1203993
21,canada,struct-stringify,fold-on,1869900,1203993
1,citm_catalog,struct-parse,fold-off,1325600,1727204
1,citm_catalog,struct-parse,fold-on,1357500,1727204
2,citm_catalog,struct-parse,fold-off,1522100,1727204
2,citm_catalog,struct-parse,fold-on,2613600,1727204
3,citm_catalog,struct-parse,fold-off,2572800,1727204
3,citm_catalog,struct-parse,fold-on,2416000,1727204
4,citm_catalog,struct-parse,fold-off,1387200,1727204
4,citm_catalog,struct-parse,fold-on,1598100,1727204
5,citm_catalog,struct-parse,fold-off,1547500,1727204
5,citm_catalog,struct-parse,fold-on,1386200,1727204
6,citm_catalog,struct-parse,fold-off,1329900,1727204
6,citm_catalog,struct-parse,fold-on,1401400,1727204
7,citm_catalog,struct-parse,fold-off,2584100,1727204
7,citm_catalog,struct-parse,fold-on,1590800,1727204
8,citm_catalog,struct-parse,fold-off,1285900,1727204
8,citm_catalog,struct-parse,fold-on,1296200,1727204
9,citm_catalog,struct-parse,fold-off,1399000,1727204
9,citm_catalog,struct-parse,fold-on,1429500,1727204
10,citm_catalog,struct-parse,fold-off,1512100,1727204
10,citm_catalog,struct-parse,fold-on,2174600,1727204
11,citm_catalog,struct-parse,fold-off,1308500,1727204
11,citm_catalog,struct-parse,fold-on,1365300,1727204
12,citm_catalog,struct-parse,fold-off,1465600,1727204
12,citm_catalog,struct-parse,fold-on,1351300,1727204
13,citm_catalog,struct-parse,fold-off,1509400,1727204
13,citm_catalog,struct-parse,fold-on,1559200,1727204
14,citm_catalog,struct-parse,fold-off,1319100,1727204
14,citm_catalog,struct-parse,fold-on,1262800,1727204
15,citm_catalog,struct-parse,fold-off,1311100,1727204
15,citm_catalog,struct-parse,fold-on,1421700,1727204
16,citm_catalog,struct-parse,fold-off,1449000,1727204
16,citm_catalog,struct-parse,fold-on,1458300,1727204
17,citm_catalog,struct-parse,fold-off,1389100,1727204
17,citm_catalog,struct-parse,fold-on,1267600,1727204
18,citm_catalog,struct-parse,fold-off,1377200,1727204
18,citm_catalog,struct-parse,fold-on,1340300,1727204
19,citm_catalog,struct-parse,fold-off,2187900,1727204
19,citm_catalog,struct-parse,fold-on,1303900,1727204
20,citm_catalog,struct-parse,fold-off,1274100,1727204
20,citm_catalog,struct-parse,fold-on,1270900,1727204
21,citm_catalog,struct-parse,fold-off,1194500,1727204
21,citm_catalog,struct-parse,fold-on,1209000,1727204
1,citm_catalog,struct-stringify,fold-off,341400,500299
1,citm_catalog,struct-stringify,fold-on,327300,500299
2,citm_catalog,struct-stringify,fold-off,366800,500299
2,citm_catalog,struct-stringify,fold-on,487400,500299
3,citm_catalog,struct-stringify,fold-off,361900,500299
3,citm_catalog,struct-stringify,fold-on,469600,500299
4,citm_catalog,struct-stringify,fold-off,350600,500299
4,citm_catalog,struct-stringify,fold-on,368900,500299
5,citm_catalog,struct-stringify,fold-off,346100,500299
5,citm_catalog,struct-stringify,fold-on,347700,500299
6,citm_catalog,struct-stringify,fold-off,336400,500299
6,citm_catalog,struct-stringify,fold-on,336400,500299
7,citm_catalog,struct-stringify,fold-off,341500,500299
7,citm_catalog,struct-stringify,fold-on,360000,500299
8,citm_catalog,struct-stringify,fold-off,322900,500299
8,citm_catalog,struct-stringify,fold-on,347500,500299
9,citm_catalog,struct-stringify,fold-off,341400,500299
9,citm_catalog,struct-stringify,fold-on,326300,500299
10,citm_catalog,struct-stringify,fold-off,377200,500299
