pair,file,column,arm,min_ns,bytes
1,canada,struct-stringify,fold-off,1913100,1203993
1,canada,struct-stringify,fold-on,2306000,1203993
2,canada,struct-stringify,fold-off,1851600,1203993
2,canada,struct-stringify,fold-on,1873100,1203993
3,canada,struct-stringify,fold-off,1781400,1203993
3,canada,struct-stringify,fold-on,1798600,1203993
4,canada,struct-stringify,fold-off,1814100,1203993
4,canada,struct-stringify,fold-on,1784000,1203993
5,canada,struct-stringify,fold-off,1798000,1203993
5,canada,struct-stringify,fold-on,1743900,1203993
6,canada,struct-stringify,fold-off,1736500,1203993
6,canada,struct-stringify,fold-on,1776000,1203993
7,canada,struct-stringify,fold-off,1745300,1203993
7,canada,struct-stringify,fold-on,1704500,1203993
8,canada,struct-stringify,fold-off,1746200,1203993
8,canada,struct-stringify,fold-on,1741500,1203993
9,canada,struct-stringify,fold-off,1740500,1203993
9,canada,struct-stringify,fold-on,1775500,1203993
10,canada,struct-stringify,fold-off,1838500,1203993
10,canada,struct-stringify,fold-on,1753500,1203993
11,canada,struct-stringify,fold-off,1807600,1203993
11,canada,struct-stringify,fold-on,1822000,1203993
12,canada,struct-stringify,fold-off,1739400,1203993
12,canada,struct-stringify,fold-on,1822400,1203993
13,canada,struct-stringify,fold-off,1782000,1203993
13,canada,struct-stringify,fold-on,1740700,1203993
14,canada,struct-stringify,fold-off,1811400,1203993
14,canada,struct-stringify,fold-on,1784900,1203993
15,canada,struct-stringify,fold-off,1759300,1203993
15,canada,struct-stringify,fold-on,1750200,1203993
16,canada,struct-stringify,fold-off,1742700,1203993
16,canada,struct-stringify,fold-on,1740300,1203993
17,canada,struct-stringify,fold-off,1778600,1203993
17,canada,struct-stringify,fold-on,1738200,1203993
18,canada,struct-stringify,fold-off,1739600,1203993
18,canada,struct-stringify,fold-on,1744700,1203993
19,canada,struct-stringify,fold-off,1739000,1203993
19,canada,struct-stringify,fold-on,1736500,1203993
20,canada,struct-stringify,fold-off,1738300,1203993
20,canada,struct-stringify,fold-on,1738500,1203993
21,canada,struct-stringify,fold-off,1738200,1203993
21,canada,struct-stringify,fold-on,1738900,1203993
22,canada,struct-stringify,fold-off,1720100,1203993
22,canada,struct-stringify,fold-on,1738400,1203993
23,canada,struct-stringify,fold-off,1719500,1203993
23,canada,struct-stringify,fold-on,1738700,1203993
24,canada,struct-stringify,fold-off,1698900,1203993
24,canada,struct-stringify,fold-on,1697100,1203993
25,canada,struct-stringify,fold-off,1743600,1203993
25,canada,struct-stringify,fold-on,1694200,1203993
26,canada,struct-stringify,fold-off,1707000,1203993
