pair,file,column,arm,min_ns,bytes
1,canada,struct-stringify,null-a,1782300,1203993
1,canada,struct-stringify,null-b,1824100,1203993
2,canada,struct-stringify,null-a,1820100,1203993
2,canada,struct-stringify,null-b,1866600,1203993
3,canada,struct-stringify,null-a,1795900,1203993
3,canada,struct-stringify,null-b,1767300,1203993
4,canada,struct-stringify,null-a,1781800,1203993
4,canada,struct-stringify,null-b,1821900,1203993
5,canada,struct-stringify,null-a,1824600,1203993
5,canada,struct-stringify,null-b,1823000,1203993
6,canada,struct-stringify,null-a,1792600,1203993
6,canada,struct-stringify,null-b,1780100,1203993
7,canada,struct-stringify,null-a,1826200,1203993
7,canada,struct-stringify,null-b,1740100,1203993
8,canada,struct-stringify,null-a,1735900,1203993
8,canada,struct-stringify,null-b,1747900,1203993
9,canada,struct-stringify,null-a,1778900,1203993
9,canada,struct-stringify,null-b,1761400,1203993
10,canada,struct-stringify,null-a,1757700,1203993
10,canada,struct-stringify,null-b,1775900,1203993
11,canada,struct-stringify,null-a,1765300,1203993
11,canada,struct-stringify,null-b,1832000,1203993
12,canada,struct-stringify,null-a,1926300,1203993
12,canada,struct-stringify,null-b,2127900,1203993
13,canada,struct-stringify,null-a,1829000,1203993
13,canada,struct-stringify,null-b,1823100,1203993
14,canada,struct-stringify,null-a,1828600,1203993
14,canada,struct-stringify,null-b,1854900,1203993
15,canada,struct-stringify,null-a,1810700,1203993
15,canada,struct-stringify,null-b,1761000,1203993
16,canada,struct-stringify,null-a,1744400,1203993
16,canada,struct-stringify,null-b,1778400,1203993
17,canada,struct-stringify,null-a,1754700,1203993
17,canada,struct-stringify,null-b,1813500,1203993
18,canada,struct-stringify,null-a,1808200,1203993
18,canada,struct-stringify,null-b,1742700,1203993
19,canada,struct-stringify,null-a,1777200,1203993
19,canada,struct-stringify,null-b,1823900,1203993
20,canada,struct-stringify,null-a,1889100,1203993
20,canada,struct-stringify,null-b,1751400,1203993
21,canada,struct-stringify,null-a,1916900,1203993
21,canada,struct-stringify,null-b,1944700,1203993
1,citm_catalog,struct-stringify,null-a,287600,500299
1,citm_catalog,struct-stringify,null-b,294200,500299
2,citm_catalog,struct-stringify,null-a,282200,500299
2,citm_catalog,struct-stringify,null-b,288000,500299
3,citm_catalog,struct-stringify,null-a,289700,500299
3,citm_catalog,struct-stringify,null-b,289100,500299
4,citm_catalog,struct-stringify,null-a,276500,500299
4,citm_catalog,struct-stringify,null-b,294200,500299
5,citm_catalog,struct-stringify,null-a,289800,500299
5,citm_catalog,struct-stringify,null-b,288800,500299
6,citm_catalog,struct-stringify,null-a,290600,500299
6,citm_catalog,struct-stringify,null-b,286700,500299
7,citm_catalog,struct-stringify,null-a,288700,500299
7,citm_catalog,struct-stringify,null-b,288100,500299
8,citm_catalog,struct-stringify,null-a,276400,500299
8,citm_catalog,struct-stringify,null-b,271600,500299
9,citm_catalog,struct-stringify,null-a,283500,500299
9,citm_catalog,struct-stringify,null-b,268300,500299
10,citm_catalog,struct-stringify,null-a,274800,500299
10,citm_catalog,struct-stringify,null-b,275900,500299
11,citm_catalog,struct-stringify,null-a,276800,500299
11,citm_catalog,struct-stringify,null-b,287600,500299
12,citm_catalog,struct-stringify,null-a,303200,500299
12,citm_catalog,struct-stringify,null-b,342600,500299
13,citm_catalog,struct-stringify,null-a,298000,500299
13,citm_catalog,struct-stringify,null-b,291600,500299
14,citm_catalog,struct-stringify,null-a,294000,500299
14,citm_catalog,struct-stringify,null-b,289200,500299
15,citm_catalog,struct-stringify,null-a,277400,500299
15,citm_catalog,struct-stringify,null-b,274100,500299
16,citm_catalog,struct-stringify,null-a,277400,500299
16,citm_catalog,struct-stringify,null-b,282500,500299
17,citm_catalog,struct-stringify,null-a,272200,500299
17,citm_catalog,struct-stringify,null-b,276700,500299
18,citm_catalog,struct-stringify,null-a,284000,500299
18,citm_catalog,struct-stringify,null-b,288400,500299
19,citm_catalog,struct-stringify,null-a,275600,500299
19,citm_catalog,struct-stringify,null-b,284500,500299
20,citm_catalog,struct-stringify,null-a,296500,500299
20,citm_catalog,struct-stringify,null-b,287400,500299
21,citm_catalog,struct-stringify,null-a,295100,500299
21,citm_catalog,struct-stringify,null-b,296400,500299
1,s4-frame-telemetry,struct-stringify,null-a,766300,595115
1,s4-frame-telemetry,struct-stringify,null-b,732000,595115
2,s4-frame-telemetry,struct-stringify,null-a,748900,595115
2,s4-frame-telemetry,struct-stringify,null-b,717200,595115
3,s4-frame-telemetry,struct-stringify,null-a,787300,595115
3,s4-frame-telemetry,struct-stringify,null-b,700300,595115
4,s4-frame-telemetry,struct-stringify,null-a,704400,595115
4,s4-frame-telemetry,struct-stringify,null-b,766000,595115
5,s4-frame-telemetry,struct-stringify,null-a,735400,595115
5,s4-frame-telemetry,struct-stringify,null-b,733800,595115
6,s4-frame-telemetry,struct-stringify,null-a,711900,595115
6,s4-frame-telemetry,struct-stringify,null-b,700400,595115
7,s4-frame-telemetry,struct-stringify,null-a,702600,595115
7,s4-frame-telemetry,struct-stringify,null-b,748200,595115
8,s4-frame-telemetry,struct-stringify,null-a,703700,595115
8,s4-frame-telemetry,struct-stringify,null-b,703100,595115
9,s4-frame-telemetry,struct-stringify,null-a,701700,595115
9,s4-frame-telemetry,struct-stringify,null-b,685500,595115
10,s4-frame-telemetry,struct-stringify,null-a,703200,595115
10,s4-frame-telemetry,struct-stringify,null-b,703600,595115
11,s4-frame-telemetry,struct-stringify,null-a,731700,595115
11,s4-frame-telemetry,struct-stringify,null-b,739500,595115
12,s4-frame-telemetry,struct-stringify,null-a,848500,595115
12,s4-frame-telemetry,struct-stringify,null-b,850100,595115
13,s4-frame-telemetry,struct-stringify,null-a,733700,595115
13,s4-frame-telemetry,struct-stringify,null-b,676100,595115
14,s4-frame-telemetry,struct-stringify,null-a,702300,595115
14,s4-frame-telemetry,struct-stringify,null-b,702500,595115
15,s4-frame-telemetry,struct-stringify,null-a,703700,595115
15,s4-frame-telemetry,struct-stringify,null-b,702200,595115
16,s4-frame-telemetry,struct-stringify,null-a,703600,595115
16,s4-frame-telemetry,struct-stringify,null-b,722100,595115
17,s4-frame-telemetry,struct-stringify,null-a,670000,595115
17,s4-frame-telemetry,struct-stringify,null-b,670400,595115
18,s4-frame-telemetry,struct-stringify,null-a,706900,595115
18,s4-frame-telemetry,struct-stringify,null-b,688100,595115
19,s4-frame-telemetry,struct-stringify,null-a,703800,595115
19,s4-frame-telemetry,struct-stringify,null-b,695000,595115
20,s4-frame-telemetry,struct-stringify,null-a,787800,595115
20,s4-frame-telemetry,struct-stringify,null-b,704300,595115
21,s4-frame-telemetry,struct-stringify,null-a,801600,595115
21,s4-frame-telemetry,struct-stringify,null-b,721300,595115
1,twitter,dom-stringify,null-a,232000,466906
1,twitter,dom-stringify,null-b,237000,466906
2,twitter,dom-stringify,null-a,237600,466906
2,twitter,dom-stringify,null-b,237700,466906
3,twitter,dom-stringify,null-a,236000,466906
3,twitter,dom-stringify,null-b,232500,466906
4,twitter,dom-stringify,null-a,229700,466906
