pair,file,column,arm,min_ns,bytes
1,canada,dom-stringify,swar8,1966300,2063469
1,canada,dom-stringify,avx2,1997400,2063469
2,canada,dom-stringify,swar8,2014600,2063469
2,canada,dom-stringify,avx2,2017000,2063469
3,canada,dom-stringify,swar8,2027600,2063469
3,canada,dom-stringify,avx2,2018100,2063469
4,canada,dom-stringify,swar8,2054500,2063469
4,canada,dom-stringify,avx2,1981500,2063469
5,canada,dom-stringify,swar8,1990100,2063469
5,canada,dom-stringify,avx2,2011700,2063469
6,canada,dom-stringify,swar8,2058100,2063469
6,canada,dom-stringify,avx2,2008100,2063469
7,canada,dom-stringify,swar8,2023200,2063469
7,canada,dom-stringify,avx2,2023600,2063469
8,canada,dom-stringify,swar8,2016400,2063469
8,canada,dom-stringify,avx2,2039500,2063469
9,canada,dom-stringify,swar8,1989900,2063469
9,canada,dom-stringify,avx2,2023600,2063469
10,canada,dom-stringify,swar8,2031100,2063469
10,canada,dom-stringify,avx2,2028300,2063469
11,canada,dom-stringify,swar8,2030200,2063469
11,canada,dom-stringify,avx2,2012300,2063469
12,canada,dom-stringify,swar8,2010100,2063469
12,canada,dom-stringify,avx2,2007900,2063469
13,canada,dom-stringify,swar8,1984800,2063469
13,canada,dom-stringify,avx2,2024800,2063469
14,canada,dom-stringify,swar8,2001600,2063469
14,canada,dom-stringify,avx2,2114900,2063469
15,canada,dom-stringify,swar8,2023800,2063469
15,canada,dom-stringify,avx2,1951200,2063469
16,canada,dom-stringify,swar8,2001900,2063469
16,canada,dom-stringify,avx2,2029600,2063469
17,canada,dom-stringify,swar8,1993500,2063469
17,canada,dom-stringify,avx2,1980800,2063469
18,canada,dom-stringify,swar8,1960200,2063469
18,canada,dom-stringify,avx2,2035200,2063469
19,canada,dom-stringify,swar8,1969900,2063469
19,canada,dom-stringify,avx2,2030400,2063469
20,canada,dom-stringify,swar8,1982200,2063469
20,canada,dom-stringify,avx2,2008800,2063469
21,canada,dom-stringify,swar8,1981800,2063469
21,canada,dom-stringify,avx2,2012400,2063469
22,canada,dom-stringify,swar8,2018100,2063469
22,canada,dom-stringify,avx2,1979800,2063469
23,canada,dom-stringify,swar8,2042900,2063469
23,canada,dom-stringify,avx2,1983900,2063469
24,canada,dom-stringify,swar8,1997300,2063469
24,canada,dom-stringify,avx2,2013100,2063469
25,canada,dom-stringify,swar8,2018300,2063469
25,canada,dom-stringify,avx2,2032500,2063469
26,canada,dom-stringify,swar8,2033700,2063469
26,canada,dom-stringify,avx2,2014500,2063469
27,canada,dom-stringify,swar8,1995400,2063469
27,canada,dom-stringify,avx2,2010700,2063469
28,canada,dom-stringify,swar8,1948800,2063469
28,canada,dom-stringify,avx2,2036600,2063469
29,canada,dom-stringify,swar8,2007600,2063469
29,canada,dom-stringify,avx2,2022400,2063469
30,canada,dom-stringify,swar8,1996700,2063469
30,canada,dom-stringify,avx2,2077900,2063469
31,canada,dom-stringify,swar8,1946400,2063469
31,canada,dom-stringify,avx2,1991400,2063469
32,canada,dom-stringify,swar8,2088300,2063469
32,canada,dom-stringify,avx2,2013500,2063469
33,canada,dom-stringify,swar8,2026200,2063469
33,canada,dom-stringify,avx2,2041700,2063469
34,canada,dom-stringify,swar8,2053700,2063469
34,canada,dom-stringify,avx2,2029500,2063469
35,canada,dom-stringify,swar8,2026600,2063469
35,canada,dom-stringify,avx2,1969100,2063469
36,canada,dom-stringify,swar8,1980400,2063469
36,canada,dom-stringify,avx2,1927400,2063469
37,canada,dom-stringify,swar8,2033800,2063469
37,canada,dom-stringify,avx2,1971300,2063469
38,canada,dom-stringify,swar8,2046900,2063469
38,canada,dom-stringify,avx2,2023300,2063469
39,canada,dom-stringify,swar8,2020400,2063469
39,canada,dom-stringify,avx2,2021100,2063469
40,canada,dom-stringify,swar8,2001600,2063469
40,canada,dom-stringify,avx2,2031500,2063469
41,canada,dom-stringify,swar8,2030200,2063469
41,canada,dom-stringify,avx2,1991900,2063469
42,canada,dom-stringify,swar8,2004600,2063469
42,canada,dom-stringify,avx2,2032800,2063469
43,canada,dom-stringify,swar8,2040800,2063469
43,canada,dom-stringify,avx2,2006900,2063469
44,canada,dom-stringify,swar8,2057100,2063469
44,canada,dom-stringify,avx2,2028300,2063469
45,canada,dom-stringify,swar8,2041000,2063469
45,canada,dom-stringify,avx2,1990600,2063469
46,canada,dom-stringify,swar8,2019900,2063469
46,canada,dom-stringify,avx2,2048400,2063469
47,canada,dom-stringify,swar8,2015900,2063469
47,canada,dom-stringify,avx2,2065900,2063469
48,canada,dom-stringify,swar8,2038200,2063469
48,canada,dom-stringify,avx2,2036300,2063469
49,canada,dom-stringify,swar8,2024700,2063469
49,canada,dom-stringify,avx2,2050200,2063469
50,canada,dom-stringify,swar8,2052200,2063469
50,canada,dom-stringify,avx2,2082600,2063469
51,canada,dom-stringify,swar8,2044700,2063469
51,canada,dom-stringify,avx2,2066000,2063469
52,canada,dom-stringify,swar8,2021400,2063469
52,canada,dom-stringify,avx2,2036300,2063469
53,canada,dom-stringify,swar8,2001500,2063469
53,canada,dom-stringify,avx2,2037200,2063469
54,canada,dom-stringify,swar8,2026300,2063469
54,canada,dom-stringify,avx2,2010000,2063469
55,canada,dom-stringify,swar8,2037100,2063469
55,canada,dom-stringify,avx2,2016300,2063469
56,canada,dom-stringify,swar8,1988000,2063469
56,canada,dom-stringify,avx2,2056600,2063469
57,canada,dom-stringify,swar8,1980200,2063469
57,canada,dom-stringify,avx2,2020200,2063469
58,canada,dom-stringify,swar8,2024500,2063469
58,canada,dom-stringify,avx2,1947500,2063469
59,canada,dom-stringify,swar8,2021800,2063469
59,canada,dom-stringify,avx2,2006200,2063469
60,canada,dom-stringify,swar8,2038600,2063469
60,canada,dom-stringify,avx2,1967700,2063469
61,canada,dom-stringify,swar8,1985500,2063469
61,canada,dom-stringify,avx2,2034100,2063469
1,canada,scan,swar8,1841900,2251051
1,canada,scan,avx2,1855100,2251051
2,canada,scan,swar8,1856700,2251051
2,canada,scan,avx2,1857400,2251051
3,canada,scan,swar8,1846300,2251051
3,canada,scan,avx2,1832500,2251051
4,canada,scan,swar8,1881300,2251051
4,canada,scan,avx2,1867700,2251051
5,canada,scan,swar8,1858200,2251051
5,canada,scan,avx2,1866000,2251051
6,canada,scan,swar8,1864800,2251051
6,canada,scan,avx2,1850900,2251051
7,canada,scan,swar8,1866300,2251051
7,canada,scan,avx2,1881900,2251051
8,canada,scan,swar8,1877000,2251051
8,canada,scan,avx2,1861500,2251051
9,canada,scan,swar8,1857300,2251051
9,canada,scan,avx2,1866100,2251051
10,canada,scan,swar8,1864600,2251051
10,canada,scan,avx2,1866000,2251051
11,canada,scan,swar8,1876200,2251051
11,canada,scan,avx2,1855100,2251051
12,canada,scan,swar8,1870200,2251051
12,canada,scan,avx2,1857200,2251051
13,canada,scan,swar8,1863300,2251051
13,canada,scan,avx2,1875500,2251051
14,canada,scan,swar8,1873300,2251051
14,canada,scan,avx2,1889300,2251051
15,canada,scan,swar8,1863500,2251051
15,canada,scan,avx2,1871600,2251051
16,canada,scan,swar8,1855100,2251051
16,canada,scan,avx2,1798700,2251051
17,canada,scan,swar8,1871700,2251051
17,canada,scan,avx2,1842900,2251051
18,canada,scan,swar8,1846000,2251051
18,canada,scan,avx2,1879700,2251051
19,canada,scan,swar8,1834600,2251051
19,canada,scan,avx2,1861100,2251051
20,canada,scan,swar8,1833400,2251051
20,canada,scan,avx2,1849100,2251051
21,canada,scan,swar8,1832300,2251051
21,canada,scan,avx2,1835000,2251051
22,canada,scan,swar8,1839000,2251051
22,canada,scan,avx2,1860000,2251051
23,canada,scan,swar8,1842600,2251051
23,canada,scan,avx2,1851600,2251051
24,canada,scan,swar8,1832700,2251051
24,canada,scan,avx2,1855500,2251051
25,canada,scan,swar8,1816300,2251051
25,canada,scan,avx2,1843900,2251051
26,canada,scan,swar8,1818000,2251051
26,canada,scan,avx2,1855400,2251051
27,canada,scan,swar8,1846900,2251051
27,canada,scan,avx2,1839800,2251051
28,canada,scan,swar8,1840900,2251051
28,canada,scan,avx2,1847900,2251051
29,canada,scan,swar8,1843000,2251051
29,canada,scan,avx2,1862900,2251051
30,canada,scan,swar8,1863000,2251051
30,canada,scan,avx2,1839300,2251051
31,canada,scan,swar8,1850300,2251051
31,canada,scan,avx2,1843100,2251051
32,canada,scan,swar8,1845100,2251051
32,canada,scan,avx2,1844900,2251051
33,canada,scan,swar8,1836800,2251051
33,canada,scan,avx2,1835900,2251051
34,canada,scan,swar8,1845300,2251051
34,canada,scan,avx2,1858700,2251051
35,canada,scan,swar8,1844800,2251051
35,canada,scan,avx2,1839700,2251051
36,canada,scan,swar8,1839600,2251051
36,canada,scan,avx2,1840900,2251051
37,canada,scan,swar8,1845500,2251051
37,canada,scan,avx2,1851300,2251051
38,canada,scan,swar8,1851800,2251051
38,canada,scan,avx2,1829400,2251051
39,canada,scan,swar8,1841000,2251051
39,canada,scan,avx2,1841400,2251051
40,canada,scan,swar8,1840400,2251051
40,canada,scan,avx2,1856700,2251051
41,canada,scan,swar8,1833700,2251051
41,canada,scan,avx2,1839300,2251051
42,canada,scan,swar8,1844500,2251051
42,canada,scan,avx2,1846400,2251051
43,canada,scan,swar8,1833300,2251051
43,canada,scan,avx2,1836000,2251051
44,canada,scan,swar8,1857400,2251051
44,canada,scan,avx2,1848800,2251051
45,canada,scan,swar8,1850500,2251051
45,canada,scan,avx2,1852800,2251051
46,canada,scan,swar8,1856100,2251051
46,canada,scan,avx2,1888100,2251051
47,canada,scan,swar8,1873200,2251051
47,canada,scan,avx2,1857600,2251051
48,canada,scan,swar8,1759100,2251051
48,canada,scan,avx2,1821900,2251051
49,canada,scan,swar8,1837400,2251051
49,canada,scan,avx2,1848400,2251051
50,canada,scan,swar8,1860500,2251051
50,canada,scan,avx2,1848400,2251051
51,canada,scan,swar8,1857900,2251051
51,canada,scan,avx2,1836800,2251051
52,canada,scan,swar8,1836300,2251051
52,canada,scan,avx2,1854000,2251051
53,canada,scan,swar8,1816100,2251051
53,canada,scan,avx2,1845300,2251051
54,canada,scan,swar8,1852500,2251051
