pair,file,column,arm,min_ns,bytes
1,canada,dom-stringify,swar8,1910700,2063469
1,canada,dom-stringify,sse2,2035900,2063469
2,canada,dom-stringify,swar8,2013200,2063469
2,canada,dom-stringify,sse2,1998100,2063469
3,canada,dom-stringify,swar8,1978200,2063469
3,canada,dom-stringify,sse2,2011000,2063469
4,canada,dom-stringify,swar8,1948400,2063469
4,canada,dom-stringify,sse2,1946800,2063469
5,canada,dom-stringify,swar8,1985600,2063469
5,canada,dom-stringify,sse2,1974500,2063469
6,canada,dom-stringify,swar8,2041200,2063469
6,canada,dom-stringify,sse2,1979800,2063469
7,canada,dom-stringify,swar8,1998100,2063469
7,canada,dom-stringify,sse2,1932200,2063469
8,canada,dom-stringify,swar8,1959400,2063469
8,canada,dom-stringify,sse2,1983500,2063469
9,canada,dom-stringify,swar8,2022600,2063469
9,canada,dom-stringify,sse2,2003000,2063469
10,canada,dom-stringify,swar8,1962400,2063469
10,canada,dom-stringify,sse2,1996500,2063469
11,canada,dom-stringify,swar8,2006500,2063469
11,canada,dom-stringify,sse2,1996400,2063469
12,canada,dom-stringify,swar8,1983500,2063469
12,canada,dom-stringify,sse2,1992100,2063469
13,canada,dom-stringify,swar8,1980300,2063469
13,canada,dom-stringify,sse2,2010200,2063469
14,canada,dom-stringify,swar8,2020500,2063469
14,canada,dom-stringify,sse2,1984700,2063469
15,canada,dom-stringify,swar8,1943000,2063469
15,canada,dom-stringify,sse2,2034500,2063469
16,canada,dom-stringify,swar8,1955000,2063469
16,canada,dom-stringify,sse2,1956300,2063469
17,canada,dom-stringify,swar8,2007800,2063469
17,canada,dom-stringify,sse2,1945100,2063469
18,canada,dom-stringify,swar8,2007900,2063469
18,canada,dom-stringify,sse2,2011000,2063469
19,canada,dom-stringify,swar8,2011700,2063469
19,canada,dom-stringify,sse2,1963500,2063469
20,canada,dom-stringify,swar8,2009100,2063469
20,canada,dom-stringify,sse2,1956500,2063469
21,canada,dom-stringify,swar8,1961600,2063469
21,canada,dom-stringify,sse2,1901400,2063469
22,canada,dom-stringify,swar8,1982100,2063469
22,canada,dom-stringify,sse2,1970000,2063469
23,canada,dom-stringify,swar8,1917100,2063469
23,canada,dom-stringify,sse2,1939200,2063469
24,canada,dom-stringify,swar8,1949700,2063469
24,canada,dom-stringify,sse2,2028000,2063469
25,canada,dom-stringify,swar8,1913100,2063469
25,canada,dom-stringify,sse2,1967400,2063469
26,canada,dom-stringify,swar8,1955300,2063469
26,canada,dom-stringify,sse2,1934000,2063469
27,canada,dom-stringify,swar8,1955500,2063469
27,canada,dom-stringify,sse2,1965700,2063469
28,canada,dom-stringify,swar8,1958400,2063469
28,canada,dom-stringify,sse2,1975300,2063469
29,canada,dom-stringify,swar8,1927500,2063469
29,canada,dom-stringify,sse2,1883900,2063469
30,canada,dom-stringify,swar8,1966400,2063469
30,canada,dom-stringify,sse2,1954300,2063469
31,canada,dom-stringify,swar8,1983300,2063469
31,canada,dom-stringify,sse2,1968400,2063469
32,canada,dom-stringify,swar8,1947900,2063469
32,canada,dom-stringify,sse2,1904700,2063469
33,canada,dom-stringify,swar8,1860000,2063469
33,canada,dom-stringify,sse2,1964500,2063469
34,canada,dom-stringify,swar8,2024100,2063469
34,canada,dom-stringify,sse2,1947300,2063469
35,canada,dom-stringify,swar8,1923600,2063469
35,canada,dom-stringify,sse2,1920600,2063469
36,canada,dom-stringify,swar8,2036400,2063469
36,canada,dom-stringify,sse2,1911800,2063469
37,canada,dom-stringify,swar8,2047200,2063469
37,canada,dom-stringify,sse2,2052600,2063469
38,canada,dom-stringify,swar8,2018400,2063469
38,canada,dom-stringify,sse2,1971800,2063469
39,canada,dom-stringify,swar8,2097800,2063469
39,canada,dom-stringify,sse2,2011900,2063469
40,canada,dom-stringify,swar8,2005700,2063469
40,canada,dom-stringify,sse2,1973800,2063469
41,canada,dom-stringify,swar8,1985300,2063469
41,canada,dom-stringify,sse2,2018100,2063469
42,canada,dom-stringify,swar8,1954500,2063469
42,canada,dom-stringify,sse2,2007000,2063469
43,canada,dom-stringify,swar8,2016100,2063469
43,canada,dom-stringify,sse2,2002500,2063469
44,canada,dom-stringify,swar8,1976000,2063469
44,canada,dom-stringify,sse2,1963400,2063469
45,canada,dom-stringify,swar8,2023100,2063469
45,canada,dom-stringify,sse2,2016500,2063469
46,canada,dom-stringify,swar8,2042600,2063469
46,canada,dom-stringify,sse2,2011200,2063469
47,canada,dom-stringify,swar8,2032000,2063469
47,canada,dom-stringify,sse2,2034400,2063469
48,canada,dom-stringify,swar8,2012200,2063469
48,canada,dom-stringify,sse2,1971600,2063469
49,canada,dom-stringify,swar8,2093000,2063469
49,canada,dom-stringify,sse2,2059800,2063469
50,canada,dom-stringify,swar8,2078700,2063469
50,canada,dom-stringify,sse2,2014100,2063469
51,canada,dom-stringify,swar8,2106900,2063469
51,canada,dom-stringify,sse2,2005500,2063469
52,canada,dom-stringify,swar8,1999600,2063469
52,canada,dom-stringify,sse2,2020300,2063469
53,canada,dom-stringify,swar8,1994300,2063469
53,canada,dom-stringify,sse2,2129400,2063469
54,canada,dom-stringify,swar8,2007700,2063469
54,canada,dom-stringify,sse2,1995700,2063469
55,canada,dom-stringify,swar8,2035500,2063469
55,canada,dom-stringify,sse2,2038400,2063469
56,canada,dom-stringify,swar8,2142700,2063469
56,canada,dom-stringify,sse2,2068400,2063469
57,canada,dom-stringify,swar8,2021700,2063469
57,canada,dom-stringify,sse2,2035800,2063469
58,canada,dom-stringify,swar8,2027700,2063469
58,canada,dom-stringify,sse2,2023000,2063469
59,canada,dom-stringify,swar8,2026700,2063469
59,canada,dom-stringify,sse2,2030300,2063469
60,canada,dom-stringify,swar8,1989700,2063469
60,canada,dom-stringify,sse2,1988900,2063469
61,canada,dom-stringify,swar8,2029100,2063469
61,canada,dom-stringify,sse2,1941300,2063469
1,canada,scan,swar8,2178700,2251051
1,canada,scan,sse2,2109900,2251051
2,canada,scan,swar8,2190600,2251051
2,canada,scan,sse2,2206200,2251051
3,canada,scan,swar8,2182000,2251051
3,canada,scan,sse2,2183100,2251051
4,canada,scan,swar8,2222800,2251051
4,canada,scan,sse2,2204700,2251051
5,canada,scan,swar8,2233300,2251051
5,canada,scan,sse2,2215200,2251051
6,canada,scan,swar8,2204100,2251051
6,canada,scan,sse2,2099800,2251051
7,canada,scan,swar8,2218700,2251051
7,canada,scan,sse2,2182000,2251051
8,canada,scan,swar8,2084300,2251051
8,canada,scan,sse2,2112500,2251051
9,canada,scan,swar8,2174500,2251051
9,canada,scan,sse2,2212300,2251051
10,canada,scan,swar8,2196600,2251051
10,canada,scan,sse2,2192600,2251051
11,canada,scan,swar8,2208000,2251051
11,canada,scan,sse2,2186900,2251051
